id,color,turn,p,i,d
1151,4,22,5.184,-1.009881,18.225
1152,5,4,5.184,-0.976288,0
1153,6,-5,4.86,-0.943746,-9.1125
1154,5,3,4.86,-0.912253,0
1155,5,3,4.86,-0.88076,0
1156,5,4,4.86,-0.849267,0
1157,5,4,4.86,-0.817774,0
1158,4,13,5.184,-0.785232,9.1125
1159,4,4,5.184,-0.751639,0
1160,4,4,5.184,-0.718047,0
1161,4,4,5.184,-0.684455,0
1162,3,13,5.508,-0.649813,9.1125
1163,3,4,5.508,-0.614121,0
1164,4,4,5.508,-0.578429,0
1165,4,4,5.508,-0.542737,0
1166,4,-4,5.184,-0.508095,-9.1125
1167,4,4,5.184,-0.474503,0
1168,3,14,5.508,-0.439861,9.1125
1169,3,5,5.508,-0.404169,0
1170,3,5,5.508,-0.368477,0
1171,4,5,5.508,-0.332785,0
1172,4,5,5.508,-0.297093,0
1173,4,-4,5.184,-0.262451,-9.1125
1174,7,-4,4.86,-0.229909,-9.1125
1175,6,4,4.86,-0.198416,0
1176,7,-4,4.536,-0.167973,-9.1125
1177,7,4,4.536,-0.13858,0
1178,7,-5,4.212,-0.110236,-9.1125
1179,7,4,4.212,-0.082942,0
1180,7,4,4.212,-0.055649,0
1181,6,13,4.536,-0.027305,9.1125
1182,7,4,4.536,0.002088,0
1183,7,4,4.536,0.031481,0
1184,7,-4,4.212,0.059825,-9.1125
1185,8,4,4.212,0.087119,0
1186,8,4,4.212,0.114413,0
1187,7,4,4.212,0.141706,0
1188,7,4,4.212,0.169,0
1189,8,4,4.212,0.196294,0
1190,7,4,4.212,0.223588,0
1191,11,-4,3.888,0.249832,-9.1125
1192,11,-5,3.564,0.273976,-9.1125
1193,11,-15,2.916,0.294971,-18.225
1194,12,3,2.916,0.313867,0
1195,12,3,2.916,0.332763,0
1196,14,-6,2.592,0.350609,-9.1125
1197,15,-6,2.268,0.366355,-9.1125
1198,15,-6,1.944,0.380002,-9.1125
1199,18,-16,1.296,0.390499,-18.225
1200,21,-17,0.648,0.396798,-18.225
1201,21,-17,0,0.398898,-18.225
1202,23,-9,-0.324,0.397848,-9.1125
1203,24,-9,-0.648,0.394699,-9.1125
1204,24,-9,-0.972,0.38945,-9.1125
1205,24,-10,-1.296,0.382101,-9.1125
1206,26,0,-1.296,0.373703,0
1207,27,-10,-1.62,0.364256,-9.1125
1208,27,-10,-1.944,0.352708,-9.1125
1209,27,-11,-2.268,0.339061,-9.1125
1210,27,-1,-2.268,0.324365,0
1211,27,-1,-2.268,0.309668,0
1212,27,-1,-2.268,0.294971,0
1213,29,-1,-2.268,0.280275,0
1214,28,-11,-2.592,0.264528,-9.1125
1215,28,-2,-2.592,0.247732,0
1216,28,-2,-2.592,0.230936,0
1217,28,-2,-2.592,0.21414,0
1218,31,-11,-2.916,0.196294,-9.1125
1219,31,-12,-3.24,0.176348,-9.1125
1220,31,-12,-3.564,0.154303,-9.1125
1221,32,-3,-3.564,0.131209,0
1222,32,-3,-3.564,0.108114,0
1223,32,-12,-3.888,0.08397,-9.1125
1224,32,-3,-3.888,0.058775,0
1225,31,5,-3.564,0.034631,9.1125
1226,31,-3,-3.564,0.011536,0
1227,31,-3,-3.564,-0.011559,0
1228,31,-3,-3.564,-0.034653,0
1229,31,-3,-3.564,-0.057748,0
1230,29,5,-3.24,-0.079793,9.1125
1231,29,6,-2.916,-0.099738,9.1125
1232,29,-3,-2.916,-0.118634,0
1233,29,-3,-2.916,-0.13753,0
1234,26,6,-2.592,-0.155376,9.1125
1235,26,6,-2.268,-0.171122,9.1125
1236,26,6,-1.944,-0.184769,9.1125
1237,26,-2,-1.944,-0.197366,0
1238,25,7,-1.62,-0.208913,9.1125
1239,21,7,-1.296,-0.218361,9.1125
1240,21,17,-0.648,-0.22466,18.225
1241,21,8,-0.324,-0.227809,9.1125
1242,19,8,0,-0.228859,9.1125
1243,15,18,0.648,-0.226759,18.225
1244,15,19,1.296,-0.220461,18.225
1245,15,10,1.62,-0.211013,9.1125
1246,15,1,1.62,-0.200515,0
1247,14,10,1.944,-0.188968,9.1125
1248,14,1,1.944,-0.176371,0
1249,14,1,1.944,-0.163774,0
1250,13,11,2.268,-0.150127,9.1125
1251,14,2,2.268,-0.13543,0
1252,14,2,2.268,-0.120734,0
1253,14,-7,1.944,-0.107087,-9.1125
1254,14,1,1.944,-0.09449,0
1255,14,1,1.944,-0.081893,0
1256,13,11,2.268,-0.068246,9.1125
1257,12,2,2.268,-0.053549,0
1258,12,11,2.592,-0.037803,9.1125
1259,12,2,2.592,-0.021006,0
1260,13,2,2.592,-0.00421,0
1261,13,2,2.592,0.012586,0
1262,13,-6,2.268,0.028332,-9.1125
1263,13,2,2.268,0.043029,0
1264,13,2,2.268,0.057726,0
1265,13,2,2.268,0.072422,0
1266,13,2,2.268,0.087119,0
1267,13,2,2.268,0.101815,0
1268,14,2,2.268,0.116512,0
1269,13,2,2.268,0.131209,0
1270,13,2,2.268,0.145905,0
